series,episode,baker,baker_last_name,baker_age,baker_occupation,hometown,signature_bake,technical,show_stopper,result
1,1,Annetha,Mills,30,Midwife,Essex,Light Jamaican Black Cakewith Strawberries and Cream,2,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",IN
1,1,David,Chambers,31,Entrepreneur,Milton Keynes,Chocolate Orange Cake,3,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",IN
1,1,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Caramel Cinnamon and Banana Cake,1,N/A,IN
1,1,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,Fresh Mango and Passion Fruit Hummingbird Cake,NA,N/A,IN
1,1,Jonathan,Shepherd,25,Research Analyst,St Albans,Carrot Cake with Lime and Cream Cheese Icing,9,Three Tiered White and Dark Chocolate with Almond and Cherry,IN
1,1,Louise,Brimelow,44,Police Officer,Manchester,Carrot and Orange Cake,NA,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",IN
1,1,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex","Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,IN
1,1,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,NA,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,IN
1,1,Lea,Harris,51,Retired,"Midlothian, Scotland",Cranberry and Pistachio Cakewith Orange Flower Water Icing,10,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,OUT
1,1,Mark,Whithers,48,Bus Driver,South Wales,Sticky Marmalade Tea Loaf,NA,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,OUT
1,2,David,Chambers,31,Entrepreneur,Milton Keynes,Cheddar Cheese and Fresh Rosemary Biscuits,8,Choux Pastry Swans  Chocolate Profiteroles,IN
1,2,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Oatmeal Raisin Cookie,6,Pink Macarons,IN
1,2,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,Millionaires' Shortbread,2,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,IN
1,2,Jonathan,Shepherd,25,Research Analyst,St Albans,Honey and Candied Ginger Cookies,1,Meringues with Whiskey Cream,IN
1,2,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Fresh Vanilla Biscuits with Royal Icing,3,Pistachio Macarons,IN
1,2,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Peanut Shortbread withSalted Peanut Caramel,5,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,IN
1,2,Annetha,Mills,30,Midwife,Essex,Rose Petal Shortbread,7,Pink Swirl Macarons / Eclairs,OUT
1,2,Louise,Brimelow,44,Police Officer,Manchester,Stained Glass Window Shortbread,4,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",OUT
1,2,Lea,Harris,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
1,2,Mark,Whithers,48,Bus Driver,South Wales,NA,NA,NA,NA
1,3,David,Chambers,31,Entrepreneur,Milton Keynes,Chilli Bread,4,"Walnut and Seed Roll
Red Berry and Almond Bun",IN
1,3,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Olive Bread,1,Tomato and Mozzarella,IN
1,3,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,Focaccia,5,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",IN
1,3,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Walnut and Apricot Bread,3,"Lemon Iced Buns
Chocolate and Orange Buns",IN
1,3,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Maple and Pecan Bread,2,"Chocolate and Orange Panettone
Cranberry Bagels",IN
1,3,Jonathan,Shepherd,25,Research Analyst,St Albans,"Anchovy, Sweet Paprika and Oregano Bread",6,"Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",OUT
1,3,Annetha,Mills,30,Midwife,Essex,NA,NA,NA,NA
1,3,Lea,Harris,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
1,3,Louise,Brimelow,44,Police Officer,Manchester,NA,NA,NA,NA
1,3,Mark,Whithers,48,Bus Driver,South Wales,NA,NA,NA,NA
1,4,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Apple and Plum Pudding,3,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",IN
1,4,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,2,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",IN
1,4,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Sticky Toffee Pudding,1,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",IN
1,4,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Peach and Blueberry Boy Bait,4,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",IN
1,4,David,Chambers,31,Entrepreneur,Milton Keynes,Pear and Walnut Pudding,5,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",OUT
1,4,Annetha,Mills,30,Midwife,Essex,NA,NA,NA,NA
1,4,Jonathan,Shepherd,25,Research Analyst,St Albans,NA,NA,NA,NA
1,4,Lea,Harris,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
1,4,Louise,Brimelow,44,Police Officer,Manchester,NA,NA,NA,NA
1,4,Mark,Whithers,48,Bus Driver,South Wales,NA,NA,NA,NA
